rank,title,plays,likes,date,url
1,Fabric端到端项目（下）,243,0,2025-04-30,https://www.bilibili.com/video/BV1eRGbzHEe5
2,Fabric端到端项目（中）,141,0,2025-04-30,https://www.bilibili.com/video/BV1rBGbzAECQ
3,Fabric端到端项目（上）,401,0,2025-04-30,https://www.bilibili.com/video/BV1rzGbzaEWj
4,Power BI 原生旋转地图,393,0,2024-07-27,https://www.bilibili.com/video/BV1s1421t7N1
5,Power BI 还原街霸原生页面,367,0,2024-06-02,https://www.bilibili.com/video/BV1ry411h7Dn
6,Rankx函数 | PowerBI必须了解的基础概念,2425,0,2023-06-02,https://www.bilibili.com/video/BV1Xu411p71C
7,Calculate函数 | PowerBI必须了解的基础概念,2608,0,2023-04-27,https://www.bilibili.com/video/BV1yP411U7oc
8,数据沿袭 | PowerBI必须了解的基础概念,1650,0,2023-04-25,https://www.bilibili.com/video/BV1vs4y1c7H8
9,变量 | PowerBI必须了解的基础概念,1519,0,2023-04-24,https://www.bilibili.com/video/BV1Jh41177n9
10,PowerBI关系函数| Related和Relatedtable,1977,0,2023-04-21,https://www.bilibili.com/video/BV1rs4y1d7HD
11,DAX原理之上下文转换| PowerBI必须了解的基础概念,2859,0,2023-04-03,https://www.bilibili.com/video/BV1Gh411G71v
12,DAX原理之筛选上下文| PowerBI必须了解的基础概念,2182,0,2023-03-23,https://www.bilibili.com/video/BV1YM411p7JW
13,DAX原理之行上下文| PowerBI必须了解的基础概念,3639,0,2023-03-14,https://www.bilibili.com/video/BV1hX4y1f7nt
14,PowerBI自动聚合，让你的报告速度起飞,4922,0,2023-03-10,https://www.bilibili.com/video/BV16o4y167P5
15,Powerbi增量刷新怎么玩，简易教程来了,5622,0,2023-03-07,https://www.bilibili.com/video/BV1JY4y1y7Gv
16,Powerbi中如何正确计算两个日期之间的实际天数,2003,0,2023-03-01,https://www.bilibili.com/video/BV13g4y1n7KZ
17,Powerbi如何计算累计求和，ABC分析，帕累托分析技巧,3840,0,2023-03-01,https://www.bilibili.com/video/BV1Lj411g7r5
18,六步优化你的Powerbi报表UI，制作专业的可视化仪表板,2268,0,2023-02-26,https://www.bilibili.com/video/BV1jY411C78v
19,POWERBI 10分钟图解CALCULATE计值顺序 一看就懂的教程,3992,0,2023-02-22,https://www.bilibili.com/video/BV1Dg4y1p7Pf
20,PowerBi总计行结果与明细行不一致是怎么回事,2026,0,2023-02-18,https://www.bilibili.com/video/BV1kM4y1f7sb
